Name,Details,Price
Camarão Coco Brasil (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados recheados com Catupiry, coentro servidos sobre cremoso arroz com camarões e molho de moqueca. Servido com batata palha e farofa de pão. + 3 Cervejas Stella Artois Pure Gold","A partir de R$ 202,90"
Camarão Coco Bambu (3 Pessoas) + 3 Stellas Pure Gold.,"9 Camarões empanados (30g/und) recheados com queijo Catupiry, servidos sobre nosso famoso Camarão Internacional (arroz cremoso com camarões (18g/und), ervilha e presunto envolvido com molho branco e gratinado com queijo mussarela). Acompanha batata palha + 3 Cervejas Stella Artois Pure Gold","A partir de R$ 223,90"
Camarão Internacional (2 Pessoas) + 2 Stellas Pure Gold.,"Camarões (18 g/unid) servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. + 2 Cervejas Stella Artois Pure Gold","A partir de R$ 166,90"
Filé à Parmegiana (2 Pessoas) + 2 Stellas Pure Gold.,"200g de filé mignon à milanesa, gratinados com queijo muçarela e molho de tomate. Servido com espaguete no próprio molho. Serve 2 pessoas. + 2 Cervejas Stella Artois Pure Gold","A partir de R$ 164,90"
Camarão Coco Brasil (2 Pessoas),"6 Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","R$ 206,00"
Camarão Coco Bambu (2 Pessoas),"Marões empanados e recheados com Catupiry, servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.","R$ 230,00"
Camarão Buzios ( Serve 2 pessoas ),"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.","R$ 99,90R$ 182,00"
Praia de Olinda ( Serve 2 pessoas ),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo muçarela. Acompanha batata palha. tamanho do camarão nesse prato: 13g","R$ 99,90R$ 176,00"
Praia de Boa Viagem ( Serve 2 pessoas ),"Camarão refogado com alho , cebola. Servido sobre espaguete ao molho bechamel e espinafre. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g","R$ 99,90R$ 190,00"
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.","R$ 99,90R$ 173,00"
Meio File parmegiana,"200g de Filé mignon à milanesa, gratinados com queijo mussarela e molho de tomate. Servido com espaguete no próprio molho.","R$ 109,90R$ 190,00"
