Name,Details,Price,Source
Caldo de Camarão,"Base camarão, mandioca e temperos: alho, sal, cebola, salsinha e cebolinha. Acompanha torradas.",30.8,República dos Camarões
Porção de Camarão com casca flocado 2 pessoas,"Limão e tártaro opcional, cobrado a parte.",54.9,República dos Camarões
Camarão à Milanesa s/casca com purê (Individual),10 camarões sem casca à milanesa. Acompanha arroz branco e purê.,59.9,República dos Camarões
Entradinha Camarão na Manteiga Acebolado,Filé de camarão salteado na cebola. Acompanha macaxeira ao leite.,68.0,Coco Bambu
Farofa de Camarão com Dendê (camarão 7 barba),,72.6,República dos Camarões
Entradinha Camarão A Milanesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,74.0,Coco Bambu
Penne ao Molho de Camarão 1 Pessoa,Ao molho de tomate com camarão.,80.3,República dos Camarões
Camarão ao Thermidor 1 Pessoa,Ao molho bechamel gratinado com parmesão. Acompanha arroz branco e batata palha.,80.3,República dos Camarões
Camarão Empanado 1 Pessoa,"Camarão sem cabeça, com casca empanado. Acompanha arroz à grega.",80.3,República dos Camarões
Espaguete ao Molho de Camarão 1 Pessoa,Ao molho de tomate com camarão.,80.3,República dos Camarões
Camarão a Francesa 1 Pessoa,Camarão com arroz ao creme de leite com queijo derretido. Acompanha batata palha.,80.3,República dos Camarões
Camarão ao Molho Misto 1 Pessoa,"Camarão ao molho branco e de tomate, gratinado Catupiry e parmesão, acompanha arroz branco.",81.4,República dos Camarões
Bobó de Camarão para 1 Pessoa,"Típico da culinária baiana a base de creme de mandioca, dendê e leite de coco. Acompanha arroz branco.",83.6,República dos Camarões
Camarão a Parmegiana 1 Pessoa,À milanesa com mussarela derretida ao molho de tomate. Acompanha arroz e fritas.,83.6,República dos Camarões
Risoto de Camarão a Moda 1 Pessoa,"Preparado com arroz branco tipo 1 ao molho de tomate com azeitona verde, ervilha e palmito.",83.6,República dos Camarões
Camarão na Moranga 1 Pessoa,Suflê de moranga com Catupiry. Acompanha arroz branco,83.6,República dos Camarões
Camarão A Milanesa 1 Pessoa,"Camarão sem casca, com arroz á grega e batata palha",83.6,República dos Camarões
Strogonoff De Camarão 1 Pessoa,"Camarão flambado ao conhaque com creme de leite, mostarda, catchup e champignon. Acompanha arroz e batata palha.",86.9,República dos Camarões
Camarão crocante,"Camarões com casca, sem cabeça passado na farinha de trigo e frito. Limão e tártaro opcional, cobrado a parte.",88.0,República dos Camarões
Camarão à Paulistinha,"Camarões com casca, sem cabeça frito com alho dourado. Limão e tártaro opcional, cobrado a parte.",88.0,República dos Camarões
Camarão Catupiry 1 Pessoa,"Camarão gratinado com Catupiry, batatas fatiadas e parmesão. Acompanha arroz branco.",88.5,República dos Camarões
Maionese de Camarão,,89.1,República dos Camarões
Salada Caesar de Camarão,"Alface americana, 10 camarões refogados no azeite e ervas, parmesão ralado, molho caesar e croûtons. Servida na casquinha de pizza.",91.0,Coco Bambu
Espetinho de Camarão em Crosta,Espetinho de Camarão em Crosta.,94.0,Coco Bambu
Camarão Brasileirinho (1 a 2 Pessoas),Camarões empanados em farinha panko sobre delicioso arroz cremoso de moqueca. Acompanha batata palha.,94.9,Coco Bambu
Entradinha Camarão A Milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,102.9,Coco Bambu
Filé de camarão no alho,Tamanho do camarão nesse prato: 18g.,103.0,Coco Bambu
1/2 Tilápia grelhada com Farofa de Camarão,Acompanha arroz à grega e batatas douradas.,105.6,República dos Camarões
1/2 Pescada Cambucu ao Molho de Camarão,"Pescada passada na farinha e frita, ao molho de camarão acompanha arroz branco",108.9,República dos Camarões
Camarão jangadeiro + Sobremesa,"04 camarões empanados, recheados com queijo Catupiry. Tamanho do camarão nesse prato: 30g",110.9,Coco Bambu
Camarão Empanado sem Casca,"Camarões sem casca e sem cabeça, empanado e frito. Limão e tártaro opcional, cobrado a parte.",112.2,República dos Camarões
Entradinha Camarão no Azeite de Tomate Seco,"Camarões refogados no azeite com cebola alho, pasta de tomate seco, parmesão e castanha de caju. Acompanha 3 pãezinhos.",118.0,Coco Bambu
Camarão a Francesa 2 Pessoas,Camarão com arroz ao creme de leite com queijo derretido. Acompanha batata palha.,133.1,República dos Camarões
