Name,Details,Price
Caldo de Camarão,"Base camarão, mandioca e temperos: alho, sal, cebola, salsinha e cebolinha. Acompanha torradas.",30.8
Porção de Camarão com casca flocado 2 pessoas,"Limão e tártaro opcional, cobrado a parte.",54.9
Camarão à Milanesa s/casca com purê (Individual),10 camarões sem casca à milanesa. Acompanha arroz branco e purê.,59.9
Entradinha Camarão na Manteiga Acebolado,Filé de camarão salteado na cebola. Acompanha macaxeira ao leite.,68.0
Farofa de Camarão com Dendê (camarão 7 barba),,72.6
Entradinha Camarão A Milanesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,74.0
Penne ao Molho de Camarão 1 Pessoa,Ao molho de tomate com camarão.,80.3
Camarão ao Thermidor 1 Pessoa,Ao molho bechamel gratinado com parmesão. Acompanha arroz branco e batata palha.,80.3
Camarão Empanado 1 Pessoa,"Camarão sem cabeça, com casca empanado. Acompanha arroz à grega.",80.3
Espaguete ao Molho de Camarão 1 Pessoa,Ao molho de tomate com camarão.,80.3
Camarão a Francesa 1 Pessoa,Camarão com arroz ao creme de leite com queijo derretido. Acompanha batata palha.,80.3
Camarão ao Molho Misto 1 Pessoa,"Camarão ao molho branco e de tomate, gratinado Catupiry e parmesão, acompanha arroz branco.",81.4
Bobó de Camarão para 1 Pessoa,"Típico da culinária baiana a base de creme de mandioca, dendê e leite de coco. Acompanha arroz branco.",83.6
Camarão a Parmegiana 1 Pessoa,À milanesa com mussarela derretida ao molho de tomate. Acompanha arroz e fritas.,83.6
Risoto de Camarão a Moda 1 Pessoa,"Preparado com arroz branco tipo 1 ao molho de tomate com azeitona verde, ervilha e palmito.",83.6
Camarão na Moranga 1 Pessoa,Suflê de moranga com Catupiry. Acompanha arroz branco,83.6
Camarão A Milanesa 1 Pessoa,"Camarão sem casca, com arroz á grega e batata palha",83.6
Strogonoff De Camarão 1 Pessoa,"Camarão flambado ao conhaque com creme de leite, mostarda, catchup e champignon. Acompanha arroz e batata palha.",86.9
Camarão crocante,"Camarões com casca, sem cabeça passado na farinha de trigo e frito. Limão e tártaro opcional, cobrado a parte.",88.0
Camarão à Paulistinha,"Camarões com casca, sem cabeça frito com alho dourado. Limão e tártaro opcional, cobrado a parte.",88.0
Camarão Catupiry 1 Pessoa,"Camarão gratinado com Catupiry, batatas fatiadas e parmesão. Acompanha arroz branco.",88.5
Maionese de Camarão,,89.1
Salada Caesar de Camarão,"Alface americana, 10 camarões refogados no azeite e ervas, parmesão ralado, molho caesar e croûtons. Servida na casquinha de pizza.",91.0
Espetinho de Camarão em Crosta,Espetinho de Camarão em Crosta.,94.0
Camarão Brasileirinho (1 a 2 Pessoas),Camarões empanados em farinha panko sobre delicioso arroz cremoso de moqueca. Acompanha batata palha.,94.9
Entradinha Camarão A Milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,102.9
Filé de camarão no alho,Tamanho do camarão nesse prato: 18g.,103.0
1/2 Tilápia grelhada com Farofa de Camarão,Acompanha arroz à grega e batatas douradas.,105.6
1/2 Pescada Cambucu ao Molho de Camarão,"Pescada passada na farinha e frita, ao molho de camarão acompanha arroz branco",108.9
Camarão jangadeiro + Sobremesa,"04 camarões empanados, recheados com queijo Catupiry. Tamanho do camarão nesse prato: 30g",110.9
Camarão Empanado sem Casca,"Camarões sem casca e sem cabeça, empanado e frito. Limão e tártaro opcional, cobrado a parte.",112.2
Entradinha Camarão no Azeite de Tomate Seco,"Camarões refogados no azeite com cebola alho, pasta de tomate seco, parmesão e castanha de caju. Acompanha 3 pãezinhos.",118.0
Camarão a Francesa 2 Pessoas,Camarão com arroz ao creme de leite com queijo derretido. Acompanha batata palha.,133.1
Penne ao Molho de Camarão 2 Pessoas,Ao molho de tomate com camarão.,133.1
Camarão ao Thermidor 2 Pessoas,Ao molho bechamel gratinado com parmesão. Acompanha arroz branco e batata palha.,133.1
Camarão Empanado 2 Pessoas,"Camarão sem cabeça, com casca empanado. Acompanha arroz à grega.",133.1
Espaguete ao Molho de Camarão 2 Pessoas,Ao molho de tomate com camarão.,133.1
Camarão ao Molho Misto 2 Pessoas,"Camarão ao molho branco e de tomate, gratinado Catupiry e parmesão, acompanha arroz branco.",135.3
Bobó de Camarão 2 Pessoas,"Típico da culinária baiana a base de creme de mandioca, dendê e leite de coco. Acompanha arroz branco.",138.6
Camarão a milanesa 2 Pessoas,"Camarão sem casca, com arroz á grega e batata palha.",138.6
Camarão ao creme de Moranga 2 Pessoas,Suflê de moranga com Catupiry. Acompanha arroz branco,138.6
Camarão a parmegiana 2 Pessoas,À milanesa com mussarela derretida ao molho de tomate. Acompanha arroz e fritas.,138.6
Risoto de Camarão a Moda 2 Pessoas,"Preparado com arroz branco tipo 1 ao molho de tomate com azeitona verde, ervilha e palmito.",138.6
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",140.91
Camarão à milanesa + Sobremesa,Camarão à milanesa com gergelim. Acompanha molho tártaro.,141.9
Camarão Recheado,"16 Camarões eviscerados, recheado com Catupiry e empanado na farinha panko . Acompanha batata chips , e arroz ao alho.",145.0
Cação a Baiana com camarão serve 2 pessoas,"Típico da culinária baiana, postas de cação com camarão a base de dendê e leite coco. Acompanha arroz e pirão.",145.2
Strogonoff de Camarão 2 Pessoas,"Camarão flambado ao conhaque com creme de leite, mostarda, catchup e champignon. Acompanha arroz e batata palha.",147.4
Camarão Buzios ( Serve 2 pessoas ) + Sobremesa,"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.",157.8
Sequência de Camarão,"Combinação de camarões natural, alho e óleo, milanesa e ceviche de camarão. Acompanha molho tártaro.",158.0
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g",159.01
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",159.01
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.",159.01
1/2 Camarão Rosa M à Parmegiana,À milanesa com mussarela ao molho de tomate. Acompanha arroz branco e batata frita,163.7
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.",163.91
Camarão Internacional (2 Pessoas) + 2 Stellas Pure Gold.,"Camarões (18 g/unid) servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. + 2 Cervejas Stella Artois Pure Gold",166.9
Camarão Siciliano (2 Pessoas),"6 camarões recheados com queijo Catupiry e empandos, servidos sobre risoto de limão siciliano, decorado com salsinha. Acompanha batata palha.",168.0
Camarão internacional (Meio ou Inteiro) + Sobremesa,"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.",169.81
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.",173.0
Tilápia ao molho de camarão (2 pessoas),"Filé de peixe grelhado e coberto com molho de camarão, com tomate, pimentões, cheiro verde e leite de coco. Acompanha arroz branco.",173.0
Tilápia Grelhada com Farofa de Camarão,Acompanha arroz à grega e batatas douradas.,176.0
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.",176.01
Camarão Iracema (Meio ou Inteiro),"Arroz de leite com queijo coalho, coberto com camarões refogados com coentro, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e acompanha macaxeira frita. Tamanho do camarão nesse prato: 18g.",179.01
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.",179.01
Camarão ilha bela (Meio ou Inteiro),"Nossa deliciosa versão de arroz frito. Leva camarões, cebolinha, ervilha, cenoura, ovos, shoyo e óleo de gergelim torrado. Serve de 3 a 4 pessoas. tamanho do camarão nesse prato: 18g.",180.01
Camarão Ipanema (2 pessoas),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.",181.0
Camarão Ipanema (Meio ou Inteiro),"Camarões salteados no azeite com alho, cebola, pimentão, coentro e tomate. Servidos sobre arroz regado com um toque de leite de coco e batata palha.",181.01
